ID,titles,issue,volume
1,A Respiratory Study of the Influence of a Moderate Amount of Physical Training,1,1
2,Polyrhythmic Gymnastics,1,1
3,Two Investigations in the Orthopedic Field,1,1
4,The Role of Fantasy in Play Life,1,1
5,A Study of Stature in Relation to Physical Performance,1,1
6,Physical Development of College Women 1904–1928,1,1
7,Relationship of Respiration to Speed Efficiency in Swimming,1,1
8,Adult and Student Leadership in Physical Education,1,1
9,What Constitutes a Good Football Team?,1,1
10,Book Reviews,1,1
11,The Original Table of Contents,1,1
12,Responsibility of the College Director for the Physical Examination,2,1
13,Report of the Committee on College Entrance Credits,2,1
14,Report of the Committee on Curriculum Research,2,1
15,Trends in Physical Education Facilities and Gymnasium Construction,2,1
16,A Gymnasium for Diversified Activities,2,1
17,Professional Progress through Research,2,1
18,Modern Trends in Physical Education,2,1
19,Selection and Guidance of Students who Wish to Undertake Professional Training in the Field of Physical Education,2,1
20,The Precision and Validation of Tests of Physical Fitness,2,1
21,What to Measure in Physical Education,2,1
22,Basic Considerations in Planning the College Program for Women,2,1
23,Tests and Measurements in the Re-Direction of Physical Education,2,1
24,Responsibility of Major Departments of Physical Education for Training in Health Education Teaching,2,1
25,Recent Investigations of the Menstrual Problem,2,1
26,Book Reviews,2,1
27,The Original Table of Contents,2,1
28,The Physique of Women Students at Newcomb College of Tulane University. I. Stature and Weight,3,1
29,The Efficiency Rating of High School Boys as Shown by the Pulse-ratio Test,3,1
30,A Laboratory for Research in Athletics,3,1
31,Character Building through Physical Education,3,1
32,Professional Education of Physical Education Teachers,3,1
33,A Comparison of the Effectiveness of Colored and Uncolored Anatomy Slides,3,1
34,The Goals of Health Education,3,1
35,Papers from the Society of Directors of Physical Education for Women in Colleges and Universities,3,1
36,Bibliography for 1929,3,1
37,Book Reviews,3,1
38,The Original Table of Contents,3,1
39,The Circulatory Reaction in Standing,4,1
40,A Study of the Physical Efficiency of College Women as Shown by the Pulse-Ratio Test,4,1
41,Nomographs for Interpolating Scores on the Schneider Test,4,1
42,The Relation between Chest Girth and Vital Capacity,4,1
43,The Physique of Women Students at Newcomb College of Tulane University. II. Vital Capacity,4,1
44,"A Study of the Incidence, Distribution and Treatment of Ringworm in Men Students at the University of Cincinnati",4,1
45,Relative Influence of Diathermy and other Physical Therapy Measures on Stiffened Joints,4,1
46,Testing and Scoring the Physical Efficiency of College Women,4,1
47,Mechanics and Kinesiology of Swimming,4,1
48,The Supervision of Practice Teaching in Physical Education in Undergraduate Institutions in the United States,4,1
49,Book Reviews,4,1
50,The Original Table of Contents,4,1
51,President's Address,1,2
52,Upon What Basis Should Colleges Be Asked to Give Entrance Credit for Secondary School Programs of Physical Education,1,2
53,The Granting of College Entrance Credit in Physical Education,1,2
54,Corrective and Restricted Exercises,1,2
55,Relation of the Department of Student Health to the Department of Physical Education,1,2
56,Problems of Intercollegiate Athletic Administration in a Modern Program of Physical Education,1,2
57,Some Physical Aspects of Neuro-Muscular Control,1,2
58,The Four Year Curriculum in Physical (Sports) Education,1,2
59,Grading Student Achievement in Physical Education Activities,1,2
60,"The Physical Education Building at the University of Rochester, Rochester, New York",1,2
61,A Study of Relative Values of Thirty Important Activities in the Physical Education Program for Boys,1,2
62,Report of the Committee on Terminology,1,2
63,Report of the Committee on College Entrance Credits,1,2
64,Report of Committee on Construction and Material Equipment,1,2
65,Problems for Future Study,1,2
66,Projects for Future Study by the Society of Directors of Physical Education in Colleges,1,2
67,Functional Health and the Physical Fitness Index,1,2
68,Measuring the Results of Practice and Instruction,1,2
69,The Physical Condition of Certain College Students,1,2
70,Intramurals and the Women's Athletic Association,1,2
71,After College What?,1,2
72,A Curriculum for the Professional Preparation of Physical Education Teachers for Secondary Schools,1,2
73,Book Reviews,1,2
74,The Original Table of Contents,1,2
75,The Use of the Pulse-Ratio Test for Rating Physical Efficiency,2,2
76,"Comparative Effectiveness of Formal, Informal, and Combination Methods of Instructing University Freshmen in Fundamental Muscular Skills",2,2
77,A Summary of “A Criticism of Survey Techniques in Health and Physical Education”,2,2
78,Prevalence of and Correlations between Physical Defects and Their Coincidence with Functional Disorders,2,2
79,The Distance Traversed by a Basketball Player,2,2
80,"A Study of Play Facilities of Seventy-One Elementary Schools in Seventy-One Cities of over 20,000 Population",2,2
81,A Study of the Relation of Athletic Skills and Strengths to Those of Posture,2,2
82,The Health of the Teacher,2,2
83,Exercise and Physical Development,2,2
84,The Case for and against Intercollegiate Athletics for Women and the Situation since 1923,2,2
85,Suggested Subjects for Physical Education Theses and Dissertations,2,2
86,Bibliography for 1930,2,2
87,Book Reviews,2,2
88,The Original Table of Contents,2,2
89,Studies in Physical Exertion: II. Individual and Group Reaction Time in Football Charging,3,2
90,Studies in Physical Exertion: III. Effect of Signal Variation on Football Charging,3,2
91,The Development of Measures of Pupil Achievement in Physical Education,3,2
92,"Experiment on the Relation of Posture to Weight, Vital Capacity and Intelligence",3,2
93,Comparison of the Rules and Regulations of State High School Athletic Associations of the United States,3,2
94,State Organizations of Athletic Associations for Girls in Secondary Schools,3,2
95,A Simple Pulse Recorder,3,2
96,Needed Research in the Field of Program in Physical Education,3,2
97,The 1931 Health Education Survey,3,2
98,Relationship between Running Events in Track and Reaction Time,3,2
99,The Validity of Antero-Posterior Spinal Measurement,3,2
100,Application of Psycho-Physical Method in Determining an Intramural Sports Program,3,2
101,A Classification of Completed Theses and Selected Subjects,3,2
102,Book Reviews,3,2
103,The Original Table of Contents,3,2
104,Report of the Committee on Dancing in Elementary Schools,4,2
105,Three Research Studies in Physical Education,4,2
106,Phylogenetic Backgrounds of Physical Education,4,2
107,Plans and Specifications for Physical and Health Education in the Elementary School,4,2
108,An Experiment in Teaching Methods of Golf,4,2
109,An Experiment in the Use of Knowledge and Skill Tests in Playground Baseball,4,2
110,A New Method of Scoring Chinning and Dipping,4,2
111,Book Reviews,4,2
112,Cumulative Author and Subject Matter: Index for VOl. II (1931),4,2
113,The Original Table of Contents,4,2
114,The Original Table of Contents and Board of Associate Editors,1,3
115,A Survey of Athletic and Gymnastic Costumes Used by American Girls and Women,1,3
116,An Anthropometric Method for Arriving at the Optimal Proportions of the Body in Any Adult Individual,1,3
117,Distances Traversed By Football Players,1,3
118,Comments on the “Push-Up and Pull-Up”,1,3
119,A Motor Ability Test for University Women for the Classification of Entering Students Into Homogeneous Groups,1,3
120,An Experiment in Physical Education Activities Related to the Teaching of Honesty and Motor Skills,1,3
121,Physical Skill Tests for Sectioning Classes Into Homogeneous Units,1,3
122,The Periodic Fluctuation in Physical Efficiency During the Menstrual Cycle,1,3
123,A Study of the Effects of Inter-Collegiate Swimming on the Sinuses,1,3
124,A Study of Current Practices in Student Teaching and Supervision,1,3
125,An Experiment in the Testing of Ability and Progress in Basketball,1,3
126,Book Reviews,1,3
127,President's Address,2,3
128,The Responsibility of a College President in a Changing Physical Education Program,2,3
129,Physical Education at the University of Pennsylvania—From 1904 to 1931—And the Gates Plan,2,3
130,The Gates' Plan,2,3
131,The Function of the Football Coach in a Program of Physical Education,2,3
132,Intramural Relationships,2,3
133,Intramural Athletics in Small Colleges,2,3
134,"The Inter-Relationship of Physical Education, Intramural and Intercollegiate Athletics",2,3
135,Round Table Discussion on the Administration of Intercollegiate Athletics,2,3
136,Control of Ringworm Infection of the Feet,2,3
137,Guiding Principles in Teacher Training from a Public School Point of View,2,3
138,Guiding Principles in Teacher Training from the Viewpoint of a State Director,2,3
139,The Training of Teachers from the Viewpoint of a School Administrator,2,3
140,The Present Status of Professional Preparation of Teachers in Physical Education,2,3
141,Methods Used in Upgrading Medical Education,2,3
142,Methods of Improving the Professional Preparation of Teachers,2,3
143,Report of the Committee on High School Administrative Standards for the Department of Physical Education,2,3
144,Report of the Committee on Curriculum Research,2,3
145,The New Indoor Athletic Building at Harvard University,2,3
146,Physical Efficiency as Measured at the University of California,2,3
147,A Study of the Anthropometric Measurements of College Women,2,3
148,A Study of Rhythmical Capacity and Performance in Motor Rhythm in Physical Education Majors,2,3
149,The Status of Physical Education for Girls in the State of Kansas,2,3
150,An Analysis of the Respiratory Habits of Trained Swimmers,2,3
151,Administrative Problems in Required Physical Education for Men in Universities,2,3
152,A Comparison of Certain Physical Developments of Freshman Athletes and Non-Athletes,2,3
153,Recent Studies in the Sargent Jump,2,3
154,Personality Traits of College Majors in Physical Education,2,3
155,Book Reviews,2,3
156,The Original Table of Contents,2,3
157,Bibliography of Health and Physical Education,3,3
158,Monograph on Athletics for Girls and Women,3,3
159,The Physique of Women Students at Newcomb College of Tulane University: III. The Weight-Height2 Index of Body Build,3,3
160,Procedures in Educational Research: Part I. Summarizing the Literature and Writing the Report,3,3
161,The Relationship Between Reflex Time and Running Events in Track,3,3
162,An Objective Method of Grading Posture,3,3
163,Book Reviews,3,3
164,The Technique of a School Survey in Health and Physical Education,4,3
165,The Survey and Professional Preparation in Physical Education,4,3
166,A Study in the Use of Knowledge and Skill Tests in Soccer,4,3
167,The Effect of Sugar Ingestion upon Athletic Performance,4,3
168,Re-Socializing Effects of a Highly Diversified Program of Physical Education for the Mentally Ill,4,3
169,The Effect of Exercise on Heart Rate,4,3
170,Information Tests in Health and Physical Education for High School Boys,4,3
171,The Factors in the Required Physical Education Program that are Least Attractive to the College Girl,4,3
172,"The Effect of External Temperature Changes on Heart Rate, Blood Pressure, Physical Efficiency, Respiration, and Body Temperature",4,3
173,Bibliography for 1931,4,3
174,Book Reviews,4,3
175,The Original Table of Contents,4,3
176,The Original Table of Contents and Contributing Editors,1,4
177,President's Address—The Thirty-Fifth Anniversary,1,4
178,Safety in Secondary School Physical Education,1,4
179,Physical Education and the Depression,1,4
180,The Carnegie Foundation's Study of American College Athletics–Three Years Later,1,4
181,The Ideals of Intercollegiate Athletics—Are They Attainable?,1,4
182,The Educational Implications of Intercollegiate Football,1,4
183,The Worth of Varsity Athletic Coaches as Instructors in Physical Education,1,4
184,Report of the Committee on Teacher-Training in Physical Education in the United States,1,4
185,Some Trends in the Acceptance of Credits in Health and Physical Education for College Entrance,1,4
186,Double-Major Programs in Teacher Training in Physical Education,1,4
187,The Desirability of Standardizing Touch-Football Rules,1,4
188,House Athletics at Harvard,1,4
189,The Outing Club as an Intramural Activity,1,4
190,The Individual Physical Education Program,1,4
191,Fundamental Policies and Measures in Required Physical Education,1,4
192,The Psychology of Motor Skills,1,4
193,The Payne Whitney Gymnasium of Yale University,1,4
194,The Administration of Health and Physical Education for Men in Colleges and Universities,1,4
195,Report of the Committee on Curriculum Research,1,4
196,"The Effect of External Temperature Changes on Blood Pressure, Physical Efficiency, Respiration, and Body Temperature",1,4
197,Seasonal Fluctuation in Growth With Special Reference to the Clothing Factor,1,4
198,Individual Differences in Interests and Physical Traits as Related to High School Girls in Physical Education,1,4
199,Posture and Its Relation to Mental and Physical Health,1,4
200,Dysmenorrhea and Its Relation to Abdominal Strength as Tested by the Wisconsin Method,1,4
201,"An Analysis of the Likes and Dislikes of Boys and Girls in Health Education Activities: Grades Five, Six, Seven, and Eight in the Detroit Public Schools",1,4
202,A Questionnaire Study in Regard to the Attitudes of Men Students Toward the Required Physical Education Program,1,4
203,Book Reviews,1,4
204,The Philosophy of the Dance,2,4
205,The Determination of the Efficiency of Group Learning under different Incentive Conditions and Modes of Activity,2,4
206,Experimental Study of Rhythm in Gymnastic and Tap Dancing,2,4
207,Projects in Applied Physiology,2,4
208,An Analysis of the Errors in Stop-Watch Timing,2,4
209,Studies in the Start of the Sprint,2,4
210,Procedures in Educational Research,2,4
211,Pupil Objectives in High School Physical Education,2,4
212,Book Reviews,2,4
213,"The Original Table of Contents, Contributing Editors, and the American Physical Education Association Officers",2,4
214,A Study of the Relationship between Participation in College Athletics and Vocational Success,3,4
215,Water Resistance in Swimming,3,4
216,A Study of the Subjects Taught by 1037 Teachers of Health and Physical Education,3,4
217,A Study of Suitable Majors or Minors that are Used in Combination with Physical Education,3,4
218,A Report on Teaching Combinations in Physical Education in the High Schools of Illinois,3,4
219,Group Progress of White and Colored Children in Learning a Rhythm Pattern,3,4
220,A Survey of Methods of Grading Women in Individual Gymnastics in Colleges and Universities,3,4
221,The Relation of Abdominal Strength to Dysmenorrhea,3,4
222,"The Nature, Frequency, and Age Incidence of Injuries in Inter-scholastic Football",3,4
223,Survey of Football Injuries in the High Schools of Massachusetts,3,4
224,An Objective Method of Measuring the Height of the Longitudinal Arch in Foot Examinations,3,4
225,Growth Comparison of Athletes and Non-Athletes,3,4
226,Résumé of the Physical Education Activity Program in Colleges for Women,3,4
227,A Multiple Strength Index of General Motor Ability,3,4
228,The Effect of Training on the Adolescent and an Attempted Scientific Evaluation of Selected Activities,3,4
229,Book Reviews,3,4
230,"The Original Table of Contents, Contributing Editors, and the American Physical Education Association Officers",3,4
231,The Original Table of Contents and Contributing Editors,4,4
232,Evaluation of Qualities and Capacities Essential to Teaching Success,4,4
233,Variations in Metabolic Levels as Shown by Oxygen Consumption of Football Athletes Throughout a Playing Season,4,4
234,Personal Qualities of Women Teachers of Physical Education: Their Relation to the Problem of the Guidance of the Prospective Teacher,4,4
235,A Study of the Interests of The Pennsylvania State College Freshmen in Certain Formal and Natural Physical Activities,4,4
236,Some of the Factors Determining the Attitude of Freshman Women at the University of Oregon Toward Required Physical Education,4,4
237,An Experimental Study of the Effect of Fear on Muscular Coordination,4,4
238,Criteria for Judging a Golf Knowledge Test,4,4
239,An Improvement in Technique for Measuring Antero-Posterior Posture,4,4
240,A Practical Electro-Mechanical Race Timer,4,4
241,Physical Education a Determining Factor in the Control of the Weight of the College Girl,4,4
242,A Rating Scale for the Selection of Athletic Managers,4,4
243,Bibliography for 1932,4,4
244,Book Reviews,4,4
245,Cumulative Author and Subject Matter Index for Vol. IV (1933),4,4
246,The Original Table of Contents,1,5
247,The Apparent Importance of Arm Strength in Athletics,1,5
248,A Study of the Use of Percussion Instruments as Accompaniment in the Dance,1,5
249,The Problem of the Nutritional Status of a College Group,1,5
250,The Effect of Massage upon Peripheral Circulation as Measured by Skin Temperature,1,5
251,A Comparative Study of Methods of Classifying Pupils into Homogeneous Groups for Physical Education,1,5
252,"A Further Study of Dysmenorrhea in College Women—University of Michigan (A Detailed Study of 1,550 College Women)",1,5
253,The Relationship of Measurements of General Motor Capacity to the Learning of Specific Psycho-Motor Skills,1,5
254,The Influence of Exercise on the Rate of Passage of Inert Material Through the Digestive Tract,1,5
255,Grading Student Achievement in Golf Knowledge,1,5
256,What a Man Should Weigh,1,5
257,Weight Variation Percentage Chart,1,5
258,A Study of State Physical Education Associations,1,5
259,Book Reviews,1,5
260,The Original Table of Contents,2,5
261,A Short Battery of Tests to Measure Playing Ability in Women's Basketball,2,5
262,The Effect of Oxygen Inhalation on Swimming Performance,2,5
263,The Reliability and Validity of the Questionnaire Method,2,5
264,"The Placement, Follow-up, and Guidance of Teachers",2,5
265,An Investigation of the Influence of Exercise Upon Digestion in the Stomach: The Effect of Swimming upon the Acidity of the Gastric Juice,2,5
266,Toward a “Code” for Physical Education Teachers,2,5
267,College Alumni Evaluate Intercollegiate Athletics,2,5
268,"The Study of Age, Height, Weight, and Power as Classification Factors for Junior High School Girls",2,5
269,The Organization and Administration of Laboratory Experience in Teaching Physical Education,2,5
270,Report of the Committee on Curriculum Research,2,5
271,Book Reviews,2,5
272,The Original Table of Contents,3,5
273,Achievement Scales in Physical Education Activities for Boys and Girls in Elementary and Junior High Schools,3,5
274,Report of the A.P.E.A. Committee on Physical Examinations for Girls and Women,3,5
275,The Interests and Participation of Boys in Voluntary Physical Education Activities,3,5
276,The Significance of Strength Tests in Revealing Physical Condition,3,5
277,The Organization of Physical and Motor Traits in Junior High School Boys,3,5
278,Some Evidence of the Value of a Therapeutic Program,3,5
279,Causes of College Sport Accidents; Preliminary Findings from a Study of Safety in College Physical Education,3,5
280,Standards in Physical Education Costumes for Girls and Women,3,5
281,Committee Report on Gymnasium and Athletic Field Equipment,3,5
282,A Comparative Study of the Effects of the Financial Depression on Certain Vocational Aspects of College Physical Education,3,5
283,The Curriculum in Health Education for Teachers of Elementary Grades,3,5
284,A Survey of the Extent of High School Wrestling in the United States,3,5
285,A Survey of Health Instruction in Senior High Schools,3,5
286,Book Reviews,3,5
287,The Original Table of Contents,4,5
288,A Discussion of the Requirement in Physical Education for Women in Colleges and Universities,4,5
289,The Education of Men Teachers of Physical Education for Public School Service in Selected Colleges and Universities,4,5
290,Report of Committee on Objectives and Policies,4,5
291,Flarimeter Tests of Circulatory Fitness,4,5
292,The Attitudes of High School Girls Toward Physical Activities,4,5
293,The Progressive-Part vs. the Whole Method of Learning Motor Skills,4,5
294,Athletic Ability and Scholarship: A Résumé of Studies Comparing Scholarship Abilities of Athletes and Non-Athletes,4,5
295,Posture Photography: A Photographic Device to Include the Plumb Line in the Individual Posture Picture,4,5
296,Coordination Tests in Swimming,4,5
297,Curriculum Content and Suitable Minors,4,5
298,A Comparison of the Subject Elections and the Scholastic Records of Athletes and Non-Athletes,4,5
299,Curriculum Study for the Public Schools Section of the American Physical Eucation Association,4,5
300,Bibliography for 1933,4,5
301,Book Reviews,4,5
302,Cumulative Author and Subject Matter Index for Vol. V (1934),4,5
303,Studies in the Physiology of Activity: I. On Certain Reactions of College Women to Measured Activity,1,7
304,Evaluating Practices in Health and Physical Education,1,7
305,The Classification of Secondary School Boys for Purposes of Competition,1,7
306,Supervising Student Teachers in Physical Education at the University of Michigan (Secondary School Level),1,7
307,A Brief History of the Development of Swimming,1,7
308,Committee Report on Showers for Boys and Men,1,7
309,Physical Education Knowledge Tests,1,7
310,Alkali Reserve of the Blood in Relation to Swimming Performance,1,7
311,A Study of the College Women's Physical Education Department in its Relationship to the Community's Adult Leisure-Time Activities,1,7
312,Measuring Reaction Time of Athletes,1,7
313,Criteria for Studying and Evaluating Physical Education Programs with Relation to Their Leisure-Time Contributions,1,7
314,A Study of the Amounts and Types of Physical Education Material Found in Education Magazines,1,7
315,Weighted Strength Tests for the Prediction of Athletic Ability in High School Girls,1,7
316,Training for Flexible Posture and Relaxation Movements,1,7
317,Problems in the Placing of Practice Teachers,1,7
318,A Motion Picture Survey in the Field of Sports for College Women,1,7
319,Book Reviews,1,7
320,Philostratos: Concerning Gymnastics,2,7
321,Modern Revival of the Folk Dance,2,7
322,A Study of the Performance of Japanese Boys and Girls in Physical Education Activities,2,7
323,Studies in the Physiology of Activity: II. On Certain Reactions of College Women following Participation in Two-Court Basketball,2,7
324,A Behavior Frequency Rating Scale for the Measurement of Character and Personality in Physical Education Classroom Situations,2,7
325,A Behavior Frequency Rating Scale for the Measurement of Character and Personality in High School Physical Education Classes for Boys,2,7
326,Physical Education Knowledge Tests,2,7
