source,target,weight
charles,karl,1
charles,david,1
charles,reggie,1
charles,clyde,3
charles,michael,6
charles,john,8
charles,scottie,8
charles,hakeem,10
clyde,charles,1
clyde,shawn,1
clyde,gary,1
clyde,scottie,2
clyde,hakeem,2
clyde,karl,2
clyde,david,2
david,john,1
david,charles,1
david,clyde,1
david,reggie,1
david,michael,2
david,scottie,2
gary,scottie,1
gary,hakeem,1
gary,david,1
gary,clyde,1
gary,mitch,1
hakeem,clyde,1
hakeem,reggie,2
hakeem,charles,4
hakeem,scottie,5
hakeem,michael,6
hakeem,john,12
john,shawn,3
john,reggie,4
john,clyde,6
john,karl,7
john,david,11
john,charles,20
john,scottie,25
john,hakeem,27
john,michael,35
karl,scottie,1
karl,david,1
karl,clyde,1
karl,reggie,1
karl,john,2
karl,hakeem,2
karl,michael,3
michael,karl,1
michael,david,2
michael,clyde,2
michael,shawn,3
michael,hakeem,14
michael,charles,21
michael,john,22
michael,scottie,24
reggie,scottie,1
reggie,karl,1
reggie,shawn,1
reggie,john,2
reggie,charles,2
reggie,hakeem,2
scottie,clyde,1
scottie,reggie,1
scottie,david,3
scottie,karl,4
scottie,charles,6
scottie,john,7
scottie,michael,12
scottie,hakeem,14
shawn,clyde,1
shawn,reggie,1
shawn,scottie,2
shawn,charles,2
shawn,david,2
shawn,michael,3
shawn,hakeem,3
shawn,john,4
