"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @njoyflyfishing: Daily Covid Deaths per 1K Population by County For KY   2022-04-19:  Latest Covid Insights by Our Analytics Team using…",FALSE,0,NA,2022-04-22 20:21:33,FALSE,NA,"1517599511140618241",NA,"<a href=""https://script.google.com/"" rel=""nofollow"">PHDS bot mark 2</a>","PublicHealthBot",2,TRUE,FALSE,NA,NA
"2","Why is every third post either an advert for data analytics software or crypto trading apps",FALSE,0,NA,2022-04-22 20:21:33,FALSE,NA,"1517599509781561348",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DBluepaw",0,FALSE,FALSE,NA,NA
"3","Life Sciences Analytics Market - Growth, Trends, COVID-19 Impact, and Forecasts (2022 - 2027): With the huge data g… https://t.co/HD3USJ3EyX",FALSE,0,NA,2022-04-22 20:21:13,TRUE,NA,"1517599426939740161",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","SuriyaSubraman",0,FALSE,FALSE,NA,NA
"4","Daily Covid Deaths per 1K Population by County For LA   2022-04-19:  Latest Covid Insights by Our Analytics Team us… https://t.co/nuYuqKT7I6",FALSE,0,NA,2022-04-22 20:21:13,TRUE,NA,"1517599425119481856",NA,"<a href=""http://www.suttersmillcapital.com"" rel=""nofollow"">smcapplication</a>","njoyflyfishing",0,FALSE,FALSE,NA,NA
"5","What Is #Data Modeling? Types, Techniques and Examples. (eWEEK)  https://t.co/jgKbf2IyXC https://t.co/d92kK7ioId",FALSE,0,NA,2022-04-22 20:21:00,FALSE,NA,"1517599370606219264",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","jamesvgingerich",0,FALSE,FALSE,NA,NA
"6","Did you know #Disney utilizes a lot of data for new ventures?

For example Disney was very open to allow #Netflix t… https://t.co/UIzwvkZhR8",FALSE,0,NA,2022-04-22 20:20:55,TRUE,NA,"1517599352763686915",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FactsOfDisney",0,FALSE,FALSE,NA,NA
"7","RT @njoyflyfishing: Daily Covid Deaths per 1K Population by County For KS   2022-04-19:  Latest Covid Insights by Our Analytics Team using…",FALSE,0,NA,2022-04-22 20:20:45,FALSE,NA,"1517599309331681288",NA,"<a href=""https://script.google.com/"" rel=""nofollow"">PHDS bot mark 2</a>","PublicHealthBot",1,TRUE,FALSE,NA,NA
"8","RT @jmefromtheblock: I GOT THE JOB!! 🥳🙏🏼

On November 23rd I began my Google Data Analytics course. I completed and received my certificate…",FALSE,0,NA,2022-04-22 20:20:41,FALSE,NA,"1517599293779099656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OladapoJ",86,TRUE,FALSE,NA,NA
"9","RT @njoyflyfishing: Daily Covid Deaths per 1K Population by County For KY   2022-04-19:  Latest Covid Insights by Our Analytics Team using…",FALSE,0,NA,2022-04-22 20:20:35,FALSE,NA,"1517599264783978500",NA,"<a href=""https://twitter.com/NVSData"" rel=""nofollow"">Data NVS</a>","NVSData",2,TRUE,FALSE,NA,NA
"10","A single data point can change everything — and that’s why Experience Makers need to focus on omnichannel insights,… https://t.co/bNySnkrXfO",FALSE,1,NA,2022-04-22 20:20:23,TRUE,NA,"1517599217753108480",NA,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>","AdobeSummit",0,FALSE,FALSE,NA,NA
"11","RT @cuongcz: #ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data @Nicochan33 @TrippBr…",FALSE,0,NA,2022-04-22 20:20:20,FALSE,NA,"1517599204830502912",NA,"<a href=""https://twitter.com/NVSData"" rel=""nofollow"">Data NVS</a>","NVSData",1,TRUE,FALSE,NA,NA
"12","RT @manicdistopia: I believe in underpromising and over-delivering. 'Don't talk about it, be about it' mentality

I am here to make art and…",FALSE,0,NA,2022-04-22 20:20:17,FALSE,NA,"1517599189382926338",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cryptopantman",2,TRUE,FALSE,NA,NA
"13","Genialis Releases Improved Version of Expressions for Faster https://t.co/TtqjXmfm7m",FALSE,0,NA,2022-04-22 20:20:08,FALSE,NA,"1517599153873948673",NA,"<a href=""https://crowdfireapp.com"" rel=""nofollow"">Crowdfire App</a>","techpearce2",0,FALSE,FALSE,NA,NA
"14","Oracle Analytics Tutorial (Importing Data Sets, #DataEnrichment, Data Flow and Project) - YouTube 🎥 📊… https://t.co/RTKLN1AnfY",FALSE,0,NA,2022-04-22 20:20:07,TRUE,NA,"1517599148463243264",NA,"<a href=""https://ritekit.com"" rel=""nofollow"">RiteKit App</a>","RiteKitAPI",0,FALSE,FALSE,NA,NA
"15","I have finished my Google Data Analytics Certificate given by Coursera in partnership with Google. Through this pro… https://t.co/LDE8cwasZK",FALSE,0,NA,2022-04-22 20:19:40,TRUE,NA,"1517599034617196544",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MujerForestal",0,FALSE,FALSE,NA,NA
"16","RT @WolfieChristl: Verisk, a large US risk analytics firm that assesses consumers and makes decisions on them in insurance, financial servi…",FALSE,0,NA,2022-04-22 20:19:37,FALSE,NA,"1517599023368134656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MaxOlechowski",6,TRUE,FALSE,NA,NA
"17","RT @TBD_Media: “Serving society with superior quality” We learn about @Bridgestone and it’s innovations in new and sustainable materials, s…",FALSE,0,NA,2022-04-22 20:19:30,FALSE,NA,"1517598992372097026",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NuwasiimaTamali",31,TRUE,FALSE,NA,NA
"18","RT @jmefromtheblock: I GOT THE JOB!! 🥳🙏🏼

On November 23rd I began my Google Data Analytics course. I completed and received my certificate…",FALSE,0,NA,2022-04-22 20:19:15,FALSE,NA,"1517598932217614336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mya_zhane",86,TRUE,FALSE,NA,NA
"19","@NotAMuggle_7 Interesting, though I'm not sure what the job exactly encompasses. Is it a technical one - e.g. data analytics?",FALSE,0,"NotAMuggle_7",2022-04-22 20:19:03,FALSE,"1517596544312164354","1517598879012855811","89446679","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","slapstick_18",0,FALSE,FALSE,NA,NA
"20","The NBA Playoffs are upon us, but who does the data say is the real MVP? Qlik's Chuck Bannon shoots his shot, guess… https://t.co/StRkpE7C5j",FALSE,0,NA,2022-04-22 20:18:25,TRUE,NA,"1517598721399214085",NA,"<a href=""https://app.sociabble.com"" rel=""nofollow"">SociabbleApp</a>","GrantDFaulkner",0,FALSE,FALSE,NA,NA
"21","6/8

6: Google Analytics

Collects and analyzes data related to site usage and performance.

Dangerously prevalent… https://t.co/a07Gc0xBw5",FALSE,0,"DeVoltairine",2022-04-22 20:18:19,TRUE,"1517598695176482817","1517598698276065281","1275459543066083329","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeVoltairine",0,FALSE,FALSE,NA,NA
"22","@OfficialTravlad Hey @OfficialTravlad so this is my dream. I want to be of help to people around me (friends, famil… https://t.co/ETFxXqQ7xD",FALSE,0,"OfficialTravlad",2022-04-22 20:18:11,TRUE,"1517597689768198149","1517598660959289344","1103218563383549952","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DigitallucyJoe",0,FALSE,FALSE,NA,NA
